Year,Name,Event Type,PDF Link,NIPS Link,Abstract,Bibtex Link,Authors
2017,Wider and Deeper; Cheaper and Faster: Tensorized LSTMs for Sequence Learning,Poster,https://papers.nips.cc/paper/6606-wider-and-deeper-cheaper-and-faster-tensorized-lstms-for-sequence-learning.pdf,https://papers.nips.cc/paper/6606-wider-and-deeper-cheaper-and-faster-tensorized-lstms-for-sequence-learning,Long Short-Term Memory (LSTM) is a popular approach to boosting the ability of Recurrent Neural Networks to store longer term temporal information. The capacity of an LSTM network can be increased by widening and adding layers. However; usually the former introduces additional parameters; while the latter increases the runtime. As an alternative we propose the Tensorized LSTM in which the hidden states are represented by tensors and updated via a cross-layer convolution. By increasing the tensor size; the network can be widened efficiently without additional parameters since the parameters are shared across different locations in the tensor; by delaying the output; the network can be deepened implicitly with little additional runtime since deep computations for each timestep are merged into temporal computations of the sequence. Experiments conducted on five challenging sequence learning tasks show the potential of the proposed model.,https://papers.nips.cc/paper/6606-wider-and-deeper-cheaper-and-faster-tensorized-lstms-for-sequence-learning/bibtex,Zhen He; Shaobing Gao; Liang Xiao; Daxue Liu; Hangen He; David Barber
2017,Breaking the Nonsmooth Barrier: A Scalable Parallel Method for Composite Optimization,Poster,https://papers.nips.cc/paper/6611-breaking-the-nonsmooth-barrier-a-scalable-parallel-method-for-composite-optimization.pdf,https://papers.nips.cc/paper/6611-breaking-the-nonsmooth-barrier-a-scalable-parallel-method-for-composite-optimization,Due to their simplicity and excellent performance; parallel asynchronous variants of stochastic gradient descent have become popular methods to solve a wide range of large-scale optimization problems on multi-core architectures. Yet; despite their practical success; support for nonsmooth objectives is still lacking; making them unsuitable for many problems of interest in machine learning; such as the Lasso; group Lasso or empirical risk minimization with convex constraints.   In this work; we propose and analyze ProxASAGA; a fully asynchronous sparse method inspired by SAGA; a variance reduced incremental gradient algorithm. The proposed method is easy to implement and significantly outperforms the state of the art on several nonsmooth; large-scale problems. We prove that our method achieves a theoretical linear speedup with respect to the sequential version under assumptions on the sparsity of gradients and block-separability of the proximal term. Empirical benchmarks on a multi-core architecture illustrate practical speedups of up to 12x on a 20-core machine.,https://papers.nips.cc/paper/6611-breaking-the-nonsmooth-barrier-a-scalable-parallel-method-for-composite-optimization/bibtex,Fabian Pedregosa; R?mi Leblond; Simon Lacoste-Julien
2017,Scalable Generalized Linear Bandits: Online Computation and Hashing,Poster,https://papers.nips.cc/paper/6615-scalable-generalized-linear-bandits-online-computation-and-hashing.pdf,https://papers.nips.cc/paper/6615-scalable-generalized-linear-bandits-online-computation-and-hashing,Generalized Linear Bandits (GLBs); a natural extension of the stochastic linear bandits; has been popular and successful in recent years.  However; existing GLBs scale poorly with the number of rounds and the number of arms; limiting their utility in practice.  This paper proposes new; scalable solutions to the GLB problem in two respects.  First; unlike existing GLBs; whose per-time-step space and time complexity grow at least linearly with time $t$; we propose a new algorithm that performs online computations to enjoy a constant space and time complexity.  At its heart is a novel Generalized Linear extension of the Online-to-confidence-set Conversion (GLOC method) that takes \emph{any} online learning algorithm and turns it into a GLB algorithm.  As a special case; we apply GLOC to the online Newton step algorithm; which results in a low-regret GLB algorithm with much lower time and memory complexity than prior work.  Second; for the case where the number $N$ of arms is very large; we propose new algorithms in which each next arm is selected via an inner product search.  Such methods can be implemented via hashing algorithms (i.e.; ``hash-amenable'') and result in a time complexity sublinear in $N$.  While a Thompson sampling extension of GLOC is hash-amenable; its regret bound for $d$-dimensional arm sets scales with $d^{3/2}$; whereas GLOC's regret bound scales with $d$.  Towards closing this gap; we propose a new hash-amenable algorithm whose regret bound scales with $d^{5/4}$.  Finally; we propose a fast approximate hash-key computation (inner product) with a better accuracy than the state-of-the-art; which can be of independent interest.  We conclude the paper with preliminary experimental results confirming the merits of our methods.,https://papers.nips.cc/paper/6615-scalable-generalized-linear-bandits-online-computation-and-hashing/bibtex,Kwang-Sung Jun; Aniruddha Bhargava; Robert Nowak; Rebecca Willett
2017,Machine Learning with Adversaries: Byzantine Tolerant Gradient Descent,Poster,https://papers.nips.cc/paper/6617-machine-learning-with-adversaries-byzantine-tolerant-gradient-descent.pdf,https://papers.nips.cc/paper/6617-machine-learning-with-adversaries-byzantine-tolerant-gradient-descent,We study the resilience  to Byzantine failures of distributed implementations of Stochastic Gradient Descent (SGD). So far; distributed machine learning frameworks have largely ignored the possibility of failures; especially  arbitrary (i.e.; Byzantine) ones. Causes of failures include software bugs; network asynchrony; biases in local datasets; as well as attackers trying to compromise the entire system. Assuming a set of $n$ workers; up to $f$  being Byzantine;  we ask how resilient  can SGD be; without limiting the dimension; nor the size of the parameter space. We first show that no gradient aggregation rule based on a linear combination of the vectors proposed by the workers (i.e; current approaches) tolerates a single Byzantine failure. We then formulate a resilience  property of the aggregation rule capturing the basic requirements to guarantee convergence despite $f$   Byzantine workers. We propose \emph{Krum}; an aggregation rule that satisfies our resilience  property; which we argue is the first provably Byzantine-resilient algorithm for distributed SGD. We also report on experimental evaluations of Krum.,https://papers.nips.cc/paper/6617-machine-learning-with-adversaries-byzantine-tolerant-gradient-descent/bibtex,Peva Blanchard; El Mahdi El Mhamdi; Rachid Guerraoui; Julien Stainer
2017,On the Consistency of Quick Shift,Poster,https://papers.nips.cc/paper/6610-on-the-consistency-of-quick-shift.pdf,https://papers.nips.cc/paper/6610-on-the-consistency-of-quick-shift,Quick Shift is a popular mode-seeking and clustering algorithm. We present finite sample statistical consistency guarantees for Quick Shift on mode and cluster recovery under mild distributional assumptions. We then apply our results to construct a consistent modal regression algorithm.,https://papers.nips.cc/paper/6610-on-the-consistency-of-quick-shift/bibtex,Heinrich Jiang
2017,Deep Subspace Clustering Networks,Poster,https://papers.nips.cc/paper/6608-deep-subspace-clustering-networks.pdf,https://papers.nips.cc/paper/6608-deep-subspace-clustering-networks,We present a novel deep neural network architecture for unsupervised subspace clustering. This architecture is built upon deep auto-encoders; which non-linearly map the input data into a latent space. Our key idea is to introduce a novel self-expressive layer between the encoder and the decoder to mimic the "self-expressiveness" property that has proven effective in traditional subspace clustering. Being differentiable; our new self-expressive layer provides a simple but effective way to learn pairwise affinities between all data points through a standard back-propagation procedure. Being nonlinear; our neural-network based method is able to cluster data points having complex (often nonlinear) structures. We further propose pre-training and fine-tuning strategies that let us effectively learn the parameters of our subspace clustering networks. Our experiments show that the proposed method significantly outperforms the state-of-the-art unsupervised subspace clustering methods.,https://papers.nips.cc/paper/6608-deep-subspace-clustering-networks/bibtex,Pan Ji; Tong Zhang; Hongdong Li; Mathieu Salzmann; Ian Reid
2017,Hunt For The Unique; Stable; Sparse And Fast Feature Learning On Graphs,Poster,https://papers.nips.cc/paper/6614-hunt-for-the-unique-stable-sparse-and-fast-feature-learning-on-graphs.pdf,https://papers.nips.cc/paper/6614-hunt-for-the-unique-stable-sparse-and-fast-feature-learning-on-graphs,For the purpose of learning on graphs; we hunt for a graph feature representation that exhibit certain uniqueness; stability and sparsity properties while also being amenable to fast computation. This leads to the discovery of family of graph spectral distances (denoted as FGSD) and their based graph feature representations; which we prove to possess most of these desired properties. To both evaluate the quality of graph features produced by FGSD and demonstrate their utility; we apply them to the graph classification problem. Through extensive experiments; we show that a simple SVM based classification algorithm; driven with our powerful FGSD based graph features; significantly outperforms all the more sophisticated state-of-art algorithms on the unlabeled node datasets in terms of both accuracy and speed; it also yields very competitive results on the labeled datasets - despite the fact it does not utilize any node label information.,https://papers.nips.cc/paper/6614-hunt-for-the-unique-stable-sparse-and-fast-feature-learning-on-graphs/bibtex,Saurabh Verma; Zhi-Li Zhang
2017,Probabilistic Models for Integration Error in the Assessment of Functional Cardiac Models,Poster,https://papers.nips.cc/paper/6616-probabilistic-models-for-integration-error-in-the-assessment-of-functional-cardiac-models.pdf,https://papers.nips.cc/paper/6616-probabilistic-models-for-integration-error-in-the-assessment-of-functional-cardiac-models,This paper studies the numerical computation of integrals; representing estimates or predictions; over the output $f(x)$ of a computational model with respect to a distribution $p(\mathrm{d}x)$ over uncertain inputs $x$ to the model. For the functional cardiac models that motivate this work; neither $f$ nor $p$ possess a closed-form expression and evaluation of either requires $\approx$ 100 CPU hours; precluding standard numerical integration methods. Our proposal is to treat integration as an estimation problem; with a joint model for both the a priori unknown function $f$ and the a priori unknown distribution $p$. The result is a posterior distribution over the integral that explicitly accounts for dual sources of numerical approximation error due to a severely limited computational budget. This construction is applied to account; in a statistically principled manner; for the impact of numerical errors that (at present) are confounding factors in functional cardiac model assessment.,https://papers.nips.cc/paper/6616-probabilistic-models-for-integration-error-in-the-assessment-of-functional-cardiac-models/bibtex,Chris Oates; Steven Niederer; Angela Lee; Fran?ois-Xavier Briol; Mark Girolami
2017,Dilated Recurrent Neural Networks,Poster,https://papers.nips.cc/paper/6613-dilated-recurrent-neural-networks.pdf,https://papers.nips.cc/paper/6613-dilated-recurrent-neural-networks,Learning with recurrent neural networks (RNNs) on long sequences is a notoriously difficult task.  There are three major challenges: 1) complex dependencies; 2) vanishing and exploding gradients; and 3) efficient parallelization. In this paper; we introduce a simple yet effective RNN connection structure; the DilatedRNN; which simultaneously tackles all of these challenges.  The proposed architecture is characterized by multi-resolution dilated recurrent skip connections and can be combined flexibly with diverse RNN cells.  Moreover; the DilatedRNN reduces the number of parameters needed and enhances training efficiency significantly; while matching state-of-the-art performance (even with standard RNN cells) in tasks involving very long-term dependencies.  To provide a theory-based quantification of the architecture's advantages; we introduce a memory capacity measure; the mean recurrent length; which is more suitable for RNNs with long skip connections than existing measures.  We rigorously prove the advantages of the DilatedRNN over other recurrent neural architectures.  The code for our method is publicly available at https://github.com/code-terminator/DilatedRNN.,https://papers.nips.cc/paper/6613-dilated-recurrent-neural-networks/bibtex,Shiyu Chang; Yang Zhang; Wei Han; Mo Yu; Xiaoxiao Guo; Wei Tan; Xiaodong Cui; Michael Witbrock; Mark A. Hasegawa-Johnson; Thomas S. Huang
2017,Dual-Agent GANs for Photorealistic and Identity Preserving Profile Face Synthesis,Poster,https://papers.nips.cc/paper/6612-dual-agent-gans-for-photorealistic-and-identity-preserving-profile-face-synthesis.pdf,https://papers.nips.cc/paper/6612-dual-agent-gans-for-photorealistic-and-identity-preserving-profile-face-synthesis,Synthesizing realistic profile faces is promising for more efficiently  training deep pose-invariant models for large-scale unconstrained face recognition; by populating samples with extreme poses and avoiding tedious annotations. However; learning from synthetic faces may not achieve the desired performance due to the discrepancy between distributions of the synthetic and real face images. To narrow this gap; we propose a Dual-Agent Generative Adversarial Network (DA-GAN) model; which can improve the realism of a face simulator's output using unlabeled real faces; while preserving the identity information during the realism refinement. The dual agents are specifically designed for distinguishing real v.s. fake and identities simultaneously. In particular; we employ an off-the-shelf 3D face model as a simulator to generate profile face images with varying poses. DA-GAN leverages a fully convolutional network as the generator to generate high-resolution images and an auto-encoder as the discriminator with the dual agents. Besides the novel architecture; we make several key modifications to the standard GAN to preserve pose and texture; preserve identity and stabilize training process: (i) a pose perception loss; (ii) an identity perception loss; (iii) an adversarial loss with a boundary equilibrium regularization term. Experimental results show that DA-GAN not only presents compelling perceptual results but also significantly outperforms state-of-the-arts on the large-scale and challenging NIST IJB-A unconstrained face recognition benchmark. In addition; the proposed DA-GAN is also promising as a new approach for solving generic transfer learning problems more effectively.,https://papers.nips.cc/paper/6612-dual-agent-gans-for-photorealistic-and-identity-preserving-profile-face-synthesis/bibtex,Jian Zhao; Lin Xiong; Panasonic Karlekar Jayashree; Jianshu Li; Fang Zhao; Zhecan Wang; Panasonic Sugiri Pranata; Panasonic Shengmei Shen; Shuicheng Yan; Jiashi Feng
